,irs_decay_mort1,irs_decay_mort2,irs_decay_succ1,irs_decay_succ2,irs_decay_det1,irs_decay_det2
177,1.208832278,-0.025883409,-1.225029014,0.019641986,-1.837185754,-0.025883409
178,1.180216142,-0.025054284,-1.214603472,0.017655033,-1.671056064,-0.025054284
179,1.136900047,-0.022894676,-1.102342858,0.018667943,-1.740559669,-0.022894676
180,1.115353739,-0.02603721,-1.114023268,0.017441218,-1.726651236,-0.02603721
181,1.028021755,-0.026330553,-1.220845812,0.019832652,-1.630354706,-0.026330553
182,1.200090845,-0.023665381,-1.117414172,0.021945592,-1.792818871,-0.023665381
183,1.009958324,-0.025986128,-1.295983974,0.021065379,-1.742055777,-0.025986128
184,1.136874911,-0.023632389,-1.129178568,0.021294002,-1.729068513,-0.023632389
185,1.197384721,-0.025008869,-1.258378996,0.020229486,-1.866424222,-0.025008869
186,1.020621045,-0.026072707,-1.149130204,0.019206077,-1.642486054,-0.026072707
187,1.045196719,-0.024452919,-1.357856889,0.020022454,-1.758433488,-0.024452919
188,1.165673149,-0.023860745,-1.146968206,0.019964953,-1.666722794,-0.023860745
189,1.152192373,-0.022640781,-1.201251526,0.021029955,-1.771056185,-0.022640781
190,1.126413773,-0.02347286,-1.201985807,0.018244578,-1.747202582,-0.02347286
191,1.317876382,-0.025042876,-1.218530318,0.018534128,-1.667589756,-0.025042876
192,0.952595802,-0.025211439,-1.275065173,0.019013729,-1.696368447,-0.025211439
