PI,Intervention,time0_measured_mean,time0_measured_min,time0_measured_max,Obs_mean_eff,eff_obs_min,eff_obs_max,Pred_1_eff,Pred_1_eff_min,Pred_1_eff_max,Pred_2_eff,Pred_2_eff_min,Pred_2_eff_max,Pred_3_eff,Pred_3_eff_min,Pred_3_eff_max,Pred_4_eff,Pred_4_eff_min,Pred_4_eff_max,Pred_5_eff,Pred_5_eff_min,Pred_5_eff_max,Pred_6_eff,Pred_6_eff_min,Pred_6_eff_max,intvn_colour,study_order,study_colour,study_symbol,time_months,location,Intervention,country,reps
West,ITN_IRS,0.21,0.138,0.305,0.352380952,-0.019047619,0.604761905,0.223716667,0.129577143,0.320954643,0.40272619,0.31586881,0.488867976,0.334459524,0.244304167,0.426680595,0.293188095,0.194284048,0.382136786,0.173407143,0.072380238,0.267694405,0.282585714,0.187467024,0.370456429,aquamarine3,10,gold2,9,11,East,ITN + pyr/ben-IRS,Tanzania,32
West,ITN_IRS,0.21,0.138,0.305,0.395238095,0,0.647619048,0.382316667,0.292484167,0.471173452,0.495495238,0.408790952,0.581098129,0.453057143,0.365131071,0.537163905,0.387845238,0.285892976,0.472573571,0.34977381,0.248488214,0.43094131,0.418040476,0.324189762,0.500871786,aquamarine3,10,gold2,9,15,East,ITN + pyr/ben-IRS,Tanzania,32
West,ITN_IRS,0.21,0.138,0.305,0.361904762,-0.114285714,0.652380952,0.260254762,0.154100595,0.372345,0.36825,0.255059405,0.482958452,0.319619048,0.205578571,0.432038333,0.226154762,0.104473929,0.339192857,0.235052381,0.120177262,0.336762619,0.28632619,0.178216071,0.39493119,aquamarine3,10,gold2,9,19,East,ITN + pyr/ben-IRS,Tanzania,32
Bradley,ITN_IRS,0.175,0.123,0.243,0.04,-0.411428571,0.365714286,0.107365714,-0.040448714,0.263001,0.097082857,-0.047563143,0.268838714,0.097497143,-0.044652857,0.262645429,0.099862857,-0.046583857,0.255384857,0.3201,0.146387143,0.501464126,0.095922857,-0.039613143,0.262499286,aquamarine3,14,pink,13,3,West,ITN + pyr-IRS,"Bioko, Eq.Guinea",33
Abuaku,ITN_IRS,0.524,0.5,0.547,0.089694656,0.047709924,0.131679389,0.001946565,-0.079372567,0.084586021,0.003792939,-0.072699141,0.083965124,0.000825382,-0.0775125,0.087998378,0.00039313,-0.078919752,0.085791746,-0.000254771,-0.076255964,0.087135639,0.002197519,-0.076844609,0.088430344,aquamarine3,15,yellow,14,17,West,ITN+pyr/op-IRS,Ghana,34
Abuaku,ITN_IRS,0.524,0.5,0.547,0.519083969,0.480916031,0.553435115,0.452043893,0.368908349,0.528026574,0.456344466,0.365628197,0.532635878,0.452803435,0.367026861,0.53213292,0.455194656,0.366634685,0.531250477,0.453152672,0.365675095,0.530537023,0.455541985,0.367461927,0.531855916,aquamarine3,15,yellow,14,23,West,ITN+pyr/op-IRS,Ghana,34
Abuaku,ITN_IRS,0.524,0.5,0.547,0.606870229,0.562977099,0.648854962,0.354474237,0.292729532,0.424112214,0.358723282,0.290413931,0.424798569,0.355673664,0.289538168,0.421859351,0.357598282,0.285638693,0.423691555,0.355292939,0.285068273,0.421678817,0.355160305,0.289866126,0.42544146,aquamarine3,15,yellow,14,29,West,ITN+pyr/op-IRS,Ghana,34
Abuaku,ITN_IRS,0.524,0.5,0.547,0.868320611,0.845419847,0.88740458,0.707170802,0.671543702,0.742115887,0.709209924,0.670516603,0.744778578,0.708375,0.669989981,0.746394084,0.709611641,0.67133187,0.744605916,0.706927481,0.671529485,0.74414084,0.707854008,0.669912023,0.743178006,aquamarine3,15,yellow,14,35,West,ITN+pyr/op-IRS,Ghana,34
Abuaku,ITN_IRS,0.524,0.5,0.547,0.576335878,0.532442748,0.616412214,0.397835878,0.337117987,0.45730625,0.400417939,0.338355153,0.459322281,0.396590649,0.330081823,0.456941889,0.396660305,0.336125573,0.452565601,0.396352099,0.336764647,0.453808111,0.397162214,0.334853244,0.453562071,aquamarine3,15,yellow,14,41,West,ITN+pyr/op-IRS,Ghana,34
Protopopoff,PBO_ITN,0.61,0.61,0.61,0.249180328,0.249180328,0.249180328,-0.00292459,-0.082297582,0.120071803,0.238736885,0.165707664,0.33404,0.136101639,0.050527213,0.249043238,0.224896721,0.14795209,0.324005369,-0.044964754,-0.124595738,0.072919918,-0.011852459,-0.088305328,0.10263959,blue,9,green,8,4,East,PBO-ITN,Tanzania,35
